ano;m3s;log
jul/1979;518;6,249774298
ago/1979;417;6,03422972
set/1979;425;6,052459936
out/1979;395;5,978497366
nov/1979;614;6,420317984
dez/1979;711;6,566133443
jan/1980;3078;8,03193851
fev/1980;7012;8,855444075
mar/1980;2894;7,970375097
abr/1980;1911;7,555518514
mai/1980;982;6,889817374
jun/1980;687;6,532444838
jul/1980;539;6,289759472
ago/1980;425;6,051911053
set/1980;428;6,059774061
out/1980;437;6,080313965
nov/1980;795;6,678442927
dez/1980;1776;7,482100252
jan/1981;2301;7,741003298
fev/1981;1248;7,129495431
mar/1981;1721;7,450493115
abr/1981;1739;7,461292345
mai/1981;925;6,829775626
jun/1981;716;6,57328042
jul/1981;549;6,307947228
ago/1981;437;6,079698419
set/1981;356;5,873902579
out/1981;603;6,402652305
nov/1981;1353;7,209803609
dez/1981;1042;6,948725621
jan/1982;3771;8,235178645
fev/1982;2113;7,655832539
mar/1982;2098;7,648656169
abr/1982;1428;7,263977631
mai/1982;934;6,839800379
jun/1982;712;6,568632035
jul/1982;567;6,340942655
ago/1982;476;6,164817543
set/1982;446;6,101090207
out/1982;559;6,325321495
nov/1982;605;6,404489884
dez/1982;678;6,519010585
jan/1983;1880;7,539109789
fev/1983;4446;8,399662843
mar/1983;1983;7,592147316
abr/1983;1621;7,39083679
mai/1983;949;6,855768849
jun/1983;721;6,580845259
jul/1983;578;6,359269852
ago/1983;470;6,152147582
set/1983;428;6,059554023
out/1983;531;6,27556524
nov/1983;804;6,690046334
dez/1983;1553;7,347623759
jan/1984;1165;7,060679476
fev/1984;885;6,786128849
mar/1984;1036;6,942825868
abr/1984;1172;7,0662217
mai/1984;644;6,466930062
jun/1984;466;6,144167011
jul/1984;374;5,923888295
ago/1984;316;5,75477779
set/1984;339;5,826374933
out/1984;437;6,079418378
nov/1984;430;6,06380856
dez/1984;627;6,440634895
jan/1985;3080;8,032718077
fev/1985;2394;7,780559218
mar/1985;1737;7,459761342
abr/1985;1396;7,241207745
mai/1985;868;6,766111553
jun/1985;629;6,444546031
